Issuer,Certificate,Workload (h),Conclusion,File,Keywords
ENAP,Elaboração de Dados Abertos,20,2014-04-14,20140414-ElaboracaodePlanodeDadosAbertos.pdf,open data plan
Fundação Bradesco,Segurança da Informação,23,2013-04-01,20130401_fundacao_bradesco-seguranca_da_informacao.pdf,security
Grupo Voitto,Power BI Aplicado a Negócios,24,2023-06-27,20230627_powerbi_aplicado_a_negocios.pdf,PowerBI
Instituto do Legislativo Potiguar,Redação Oficial e Legislativa,24,2015-12-07,20151207-redacao-oficial-e-legislativa.pdf,official newsroom
ACONSULT,"Construção de Indicadores de desempenho, monitoramento e avaliação de resultados na Administração Pública",24,2015-10-21,20151019-construcao-de-indicadores-de-desempenho-monitoramento-e-avaliacao-de-resultados-na-administracao-publica.pdf,construction of indicators
Descomplica,Gestão do Tempo,30,2023-08-14,20230814_gestao-de-tempo.pdf,"productivity, time management"
OpenSAP," Python for Beginners",30,2022-06-01,20220601_python1_ConfirmationOfParticipation.pdf,python
OpenSAP," Python for Beginners Record of Achievement",30,2022-06-01,20220601_python1_RecordOfAchievement.pdf,python
Cruzeiro do Sul,Auditoria em Tecnologia da Informação,30,2020-06-12,20200612_Auditoria-em_Tecnologia_da_Informacao.pdf,audit
Escola de Políticas Públicas,Publicação de dados em formato aberto,30,2016-11-23,20161123-Publicacao-de-Dados-em-Formato-Aberto.pdf,open data
SENAI,CorelDraw 8,32,1999-06-02,19990602_certificado-coreldraw-cti.pdf,CorelDraw
Gama Academy,Hiring Coders,35,2022-07-20,20220711_hiring_coders_vtex_aws.pdf,"VTEX IO, AWS, DevOps, Digital E-commerce"
Google,Princípios básicos de marketing digital,40,2022-12-26,20221225-Principios-basicos-marketing-digital.pdf,"Google, Marketing Digital, Marketing"
IFRS,Inkscape,40,2021-07-05,20210705_Inkscape.pdf,inkscape
Cruzeiro do Sul,Gestão de Projeto Educaional e Corporativo,40,2020-06-26,20200626-Gestao-de-Projeto-Educacional-e-Corporativo.pdf,Projeto Educacional
Cruzeiro do Sul,Gestão por Processos,40,2020-06-22,20200622-Gestao-por-processos.pdf,process management
Cruzeiro do Sul,Perícia Forense Computacional,40,2020-06-16,20200616_Pericia_Forense_Computacional.pdf,"forensic expertise,security"
Cruzeiro do Sul,Perfil Campeão: Linkedin,40,2020-04-20,20200420_perfil-campeao-linkedin.pdf,"career, linkedin"
Cruzeiro do Sul,Currículo Lattes: da elaboração à atualização do seu perfil acadêmico,40,2020-04-20,20200420_curriculo-lattes-da-elaboracao-a-atualizacao-do-seu-perfil-academico.pdf,"career, Lattes"
Fundação Bradesco,Governo Aberto,40,2019-02-20,20190208-Governo-aberto.pdf,open government
Escola de Políticas Públicas,Dados Abertos Conectados,40,2017-02-11,20170211-Dados-Abertos-Conectados.pdf,Open data
Fundação Bradesco,Gestão Estratégica de TI – ITIL,42,2013-04-01,20130325_gestao_estrategica_de_TI-ITIL.pdf,ITIL
Alura,Formação Administração e Performance com Oracle Database,50,2023-06-12,20230612_administracao-e-performance-com-oracle-database.pdf,"oracle, database"
Escola da Assembleia,Oficina de Elaboração de Projetos,52,2018-10-23,20181124-Curso-Elaboracao-de-Projetos.pdf,project development
ITECI,SQL Server,60,2002-11-19,20020903_certificado-sqlserver-iteci.pdf,"SQL Server, Database"
Digital Innovation One,Desenvolvedor Back-end PHP,72,2020-04-28,20200428-Desenvolvedor-Back-end-PHP.pdf,"PHP, backend"
Digital Innovation One,Bootcamp SPTech Desenvolvimento Back-end,73,2021-05-31,20210531_Bootcamp_SPTech_Desenvolvimento_Back-end.pdf,"bootcamp, backend"
Digital Innovation One,Desenvolvedor Front-end ReactJS,87,2020-06-25,20200625-Desenvolvedor-Frond-end-ReactJS.pdf,"Bootcamp, React, Frontend"
Digital Innovation One,Bootcamp everis New Talents – Java,88,2021-09-24,20210924_Bootcamp_Everis_New_Talents-Java.pdf,"bootcamp, java"
Gama Academy,Desenvolvimento em ecommerce VTEX IO,100,2021-08-22,20210903_Hiring_Coders.pdf,"VTEX, javascrip, react, AWS"
Gama Academy,QE&A Automation Academy,120,2022-08-27,20220827_qea_automation_academy.pdf,"QE&A, test"
Gama Academy,Hiring Coders,120,2022-06-15,20220623_hiring_coders.pdf,"bootcamp, javascript, node.js, typescript, React, Next.JS, Gatsby.JS"
Gama Academy,Desenvolvimento Full Stack,120,2021-07-25,20210810_Bootcamp_Full_Stack_Hiring_Coders.pdf,"bootcamp, full stack,"
Data Control,Pagemaker / CorelDraw,120,1995-05-20,19950520_certificado-pagemaker-coreldraw-datacontrol.pdf,"Pagemaker, CorelDraw"
Gama Academy,Hiring Coders,120,2020-09-21,20200921_Hiring_Coders.pdf,"Bootcamp, Full stack, Javascript"
Digital Innovation One,Santander Bootcamp | Fullstack Developer,125,2021-09-14,20210914_Santander_Bootcamp_Fullstack_Developer.pdf,"bootcamp, full stack,"
Gama Academy,Acelera Atos,131,2021-12-20,20211220_Acelera_Atos.pdf,"java,"
Escola da Assembleia,Especialização em Gestão Pública,400,2018-06-14,20180618_Especializacao_em_Gestao_Publica.pdf,"gestão pública, pós-graduação"
UnP,Curso superior de tecnologia em gestão pública,1600,2014-01-29,20140124_UnP.pdf,gestão pública
